product,productName,reviewerName,title,date,verifiedPurchase,stars,text,helpful,size
undefined,chanca_piedra_hanan_tea,jameel,1.0 out of 5 stars,"Reviewed in the United States on August 23, 2024",true,1.0 out of 5 stars,This product is very bad I used it and it hurt when I urinate,,Size: 25 Count (Pack of 1)
undefined,chanca_piedra_hanan_tea,James DBH,1.0 out of 5 stars,"Reviewed in the United States on April 28, 2024",true,1.0 out of 5 stars,"As someone who is occasionally susceptible to kidney stones. I decided to try Chanca Piedra tea instead of the capsules and drops I had been using.  Hanan is the brand I chose and have been using it for a couple of years on and off whenever noticing symptoms.  I was quite satisfied with this product until my last order, a single box of 25 tea bags.  I usually buy three boxes but couldn't afford to do so this time.  I was very disturbed to discover that nearly half the tea bags in this latest purchase had barely any product in them!!!  This has never happened before.  Naturally, I went through the box much faster than expected.  I'm a 70 year-old retired senior on a lower income.  At $12 per box, I feel I was ripped off and will purchasing from another seller going forward.",5 people found this helpful,Size: 25 Count (Pack of 1)
undefined,chanca_piedra_hanan_tea,Tehya,1.0 out of 5 stars,"Reviewed in the United States on March 23, 2023",true,1.0 out of 5 stars,This tea almost put me in ER I was using the restroom for 2 days straight! And had a fever wouldn’t to ANYONE may have cleaned me out! But not my kidney stones!,3 people found this helpful,Size: 25 Count (Pack of 1)
undefined,chanca_piedra_hanan_tea,Eric Lobenstein,1.0 out of 5 stars,"Reviewed in the United States on November 17, 2021",true,1.0 out of 5 stars,"I'm not reviewing the effect on kidney stones, I'm just reviewing the quality of the product. I do not know if I received a faulty batch , but 80% of my tea bags open up while I'm pouring tea! The quality of the bag is really bad! You are paying 12usd for tea and you cannot use 80% of the bags because they open up while you are pouring, or even worse they are open already before you start pouring. So you end up with hot water and the herb inside your tea, instead of actually having a useful tea bag. I'd really like a refund as I was not able to use them and I will buy another brand moving forward.",8 people found this helpful,Size: 25 Count (Pack of 1)
undefined,chanca_piedra_hanan_tea,Natasha,1.0 out of 5 stars,"Reviewed in the United States on April 24, 2021",true,1.0 out of 5 stars,Did not like product didnot address kidney stones and would not recommend. Will not buy again.,3 people found this helpful,Size: 25 Count (Pack of 1)
undefined,chanca_piedra_hanan_tea,Amazon Customer,1.0 out of 5 stars,"Reviewed in the United States on June 29, 2020",true,1.0 out of 5 stars,Took Tea 3 times a day and with same herbal supplement for 3 Months C T  scan before showed 6mm stone after 3 Months stone Still 6 mm it did nothing at all don't waste your time Maybe if your stone is 2mm or smaller it could pass on its own with water  had to go thru 2 proceadures to get stone removed,11 people found this helpful,Size: 50 Count (Pack of 1)
undefined,chanca_piedra_hanan_tea,Mrs handy 101,1.0 out of 5 stars,"Reviewed in the United States on February 19, 2020",true,1.0 out of 5 stars,I do not like the taste so all bad reviews. But if it works to break up stones I'll try it anyway,2 people found this helpful,Size: 25 Count (Pack of 1)
undefined,chanca_piedra_hanan_tea,Tango,1.0 out of 5 stars,"Reviewed in the United States on January 26, 2020",true,1.0 out of 5 stars,Don't work at all for kidney stone.,4 people found this helpful,Size: 25 Count (Pack of 1)
undefined,chanca_piedra_hanan_tea,Kami-sama!,2.0 out of 5 stars,"Reviewed in the United States on July 21, 2023",true,2.0 out of 5 stars,"These are not strong at all. It takes about 2-3 bags to achieve the taste necessary to overcome kidney stones. And even then, more bags are needed making the product inferior especially for 25 bags.",,Size: 25 Count (Pack of 1)
undefined,chanca_piedra_hanan_tea,J.F.,2.0 out of 5 stars,"Reviewed in the United States on March 17, 2023",true,2.0 out of 5 stars,"The taste is mild not bad tasting, but it did nothing after my husband took it every day for stones.",,Size: 25 Count (Pack of 1)
undefined,chanca_piedra_hanan_tea,Arileyda ,3.0 out of 5 stars,"Reviewed in the United States on August 9, 2021",true,3.0 out of 5 stars,hopefully it will reduce my kidney stones. In 3 months i have a scan to se if it worked or not.,,Size: 25 Count (Pack of 1)
