product,productName,reviewerName,title,date,verifiedPurchase,stars,text,helpful,size
undefined,chanca_piedra_naturalisimolife,Amazon Customer,1.0 out of 5 stars,"Reviewed in the United States on November 14, 2024",true,1.0 out of 5 stars,Don't buy calcium oxcilate... that is what your kidney stones are made of. This is counter intuitive!,One person found this helpful,
undefined,chanca_piedra_naturalisimolife,Jimmy John,1.0 out of 5 stars,"Reviewed in the United States on October 19, 2024",true,1.0 out of 5 stars,This is about the most useless supplement I have ever taken. It has done absolutely nothing to help me pass my two kidney stones. I have been taking two tablets twice a day for over three weeks now. I went in for a CT scan yesterday and my two kidney stones hadn't moved from the last CT scan six weeks ago. The stones were the same size in the same place. Proof that this supplement is 100 percent useless. Don't waste your money on this garbage. It doesn't work.,One person found this helpful,
undefined,chanca_piedra_naturalisimolife,paula cusson,1.0 out of 5 stars,"Reviewed in the United States on October 13, 2024",true,1.0 out of 5 stars,I purchased because of a video I watched about how well this works for kidney stones…….within days…..but 5days of taking this product my kidney stone pain is worse and no relief.,One person found this helpful,
undefined,chanca_piedra_naturalisimolife,KV,1.0 out of 5 stars,"Reviewed in the United States on October 2, 2024",true,1.0 out of 5 stars,This product was highly recommended by friends in medical field for kidney stones. It did absolutely NOTHINGI say SAVE YOUR MONEY!,,
undefined,chanca_piedra_naturalisimolife,john cunningham,1.0 out of 5 stars,"Reviewed in the United States on September 8, 2024",true,1.0 out of 5 stars,I have two terrible attacks of kidney stones. I had been using this for some time in hopes it would work. It did not. Waste of money and effort. Take allpruinol,2 people found this helpful,
undefined,chanca_piedra_naturalisimolife,Mary,1.0 out of 5 stars,"Reviewed in the United States on August 23, 2024",true,1.0 out of 5 stars,I had no idea this product has Lead in it. Amazon will not refund  Lead should be put in item description. Why would anyone risk their health and take this?,4 people found this helpful,
undefined,chanca_piedra_naturalisimolife,Vikas Rao,1.0 out of 5 stars,"Reviewed in the United States on August 17, 2024",true,1.0 out of 5 stars,"Been taking this for 2+ months now. Unlike most reviewers here, I did not pass any stones and this has not done much for any discomfort/pain. Disappointed.",2 people found this helpful,
undefined,chanca_piedra_naturalisimolife,AD,1.0 out of 5 stars,"Reviewed in the United States on August 16, 2024",true,1.0 out of 5 stars,Read the review and was hopfull about the product. Almost done with the bottle and no improvement with my kidney stones. Oh well...,2 people found this helpful,
undefined,chanca_piedra_naturalisimolife,Liberty,1.0 out of 5 stars,"Reviewed in the United States on July 17, 2024",true,1.0 out of 5 stars,"Does nothing for kidney stones at all, also non refundable.",2 people found this helpful,
undefined,chanca_piedra_naturalisimolife,Crochet Lover,1.0 out of 5 stars,"Reviewed in the United States on June 15, 2024",true,1.0 out of 5 stars,"I took these for two months in the hopes I might reduce the multiple kidney stones I had on one side. They did absolutely nothing.I've since had a conversation about using chanca piedra with my surgeon, who is one of the top stone specialists in the country. She stated that studies are very inconsistent and there isn't enough evidence to support recommending it to prevent stones, and that especially goes for calcium stones, which I have.",2 people found this helpful,
undefined,chanca_piedra_naturalisimolife,DeLacy,1.0 out of 5 stars,"Reviewed in the United States on May 15, 2024",true,1.0 out of 5 stars,"I soaked a calcium oxalate stone  3x4mm in size in a pure water/chanka piedra solution for 7 days. Upon observation of the stone at the 7 day mark, there were no visible differences in the stone.",8 people found this helpful,
undefined,chanca_piedra_naturalisimolife,RAJ,1.0 out of 5 stars,"Reviewed in the United States on July 1, 2023",true,1.0 out of 5 stars,I bought this tablets fory kidney stones hoping that it will help me to pass the stones and am very disappointed. It doesn't not work . Don't waste your money.,2 people found this helpful,
undefined,chanca_piedra_naturalisimolife,Amazon Customer,1.0 out of 5 stars,"Reviewed in the United States on April 15, 2023",true,1.0 out of 5 stars,I didn't notice the sticker on the back saying it can cause cancer or birth defects. I bought this as my kidneys are completely packed with kidney stones and have had several people mention how this product works. I had taken about 1 weeks worth before I noticed this small sticker at the bottom of the bottle. I have called Amazon and they refunded my money. I am hoping there will be another product for chanca Piedra that doesn't cause cancer.,3 people found this helpful,
undefined,chanca_piedra_naturalisimolife,Becky M,1.0 out of 5 stars,"Reviewed in the United States on November 3, 2022",true,1.0 out of 5 stars,I took 120 capsules as directed. I could not tell any difference in pain level. No evidence of a stone breaking up or moving. I won’t order again.,,
undefined,chanca_piedra_naturalisimolife,Murphy,1.0 out of 5 stars,"Reviewed in the United States on October 25, 2022",true,1.0 out of 5 stars,"I had lithotripsy for three stones in both kidneys.  The procedure shattered the stones, but left chunks of stone debris behind according to X-rays.  I took the pills and used the tea daily for six months.  New X-rays after six months later showed nothing happened, none of the stone debris were moved out.",One person found this helpful,
undefined,chanca_piedra_naturalisimolife,Crystal Schaff,1.0 out of 5 stars,"Reviewed in the United States on September 6, 2022",true,1.0 out of 5 stars,I am prone to stones. I purchased this after hearing a woman at the salon rave about it. I don’t take it everyday so maybe that’s the issue? I am not convinced it works. I currently have an 8mm stone and it doesn’t seem to be assisting in the exiting process.,,
undefined,chanca_piedra_naturalisimolife,Usama Abu-Yousef,1.0 out of 5 stars,"Reviewed in the United States on September 2, 2022",true,1.0 out of 5 stars,It is useless.  It does not dissolve the stones.,,
undefined,chanca_piedra_naturalisimolife,Michele,1.0 out of 5 stars,"Reviewed in the United States on August 30, 2022",true,1.0 out of 5 stars,"I had 4 mm kidney stone and bought this because I was willing to try anything, but the pills didn't help.  Took them for about a week before giving up on them.",,
undefined,chanca_piedra_naturalisimolife,Lisa DeMarco,1.0 out of 5 stars,"Reviewed in the United States on July 1, 2022",true,1.0 out of 5 stars,"Have a 6 mm kidney stone and took 2 pills as directed. I had no diarrhea before taking the pill and just had some minor stomach pain (I had reduced the stomach pain a lot with lemon juice beforehand). Within 2 hours, I had horrible non-stop diarrhea. Will not be taking again as these pills actually brought back a lot of my stomach pain with the added bonus of diarrhea. Ugh. Also, there is a reason most doctors don’t know of this product - because there is essentially zero scientifically verified evidence to support it. The doctor said nothing dissolves kidney stones. Period. Also, read the 1 star reviews - people point out that this bottle says it can increase cancer risk and expose you to LEAD. Maybe that’s what my diarrhea was - my body trying to get rid of the TOXIC LEAD. This stuff is NOT REGULATED. Be very careful. This bottle is going in the trash.",9 people found this helpful,
undefined,chanca_piedra_naturalisimolife,karen j saliski,1.0 out of 5 stars,"Reviewed in the United States on June 17, 2022",true,1.0 out of 5 stars,I was facing surgery again after finding on a CT scan I had 4 stones in my kidney and ureter. I chose the natural route to avoid surgery. I am halfway in to my second bottle of this product and still facing surgery.Word to the wise only Uris acid stones will dissolve. It you have calcium based stones you either will pass them or need surgery. So disappointed I didn’t pass the stones. I won’t be buying again.,3 people found this helpful,
undefined,chanca_piedra_naturalisimolife,VEisenhauer,1.0 out of 5 stars,"Reviewed in the United States on June 12, 2022",true,1.0 out of 5 stars,"With scans proved this did not work for me.  I was so hopeful as I had pain worse than child birth, but no luck.  Just a waste of my money ss they do not offer any money back guarantees.  Save your money and go visit the amish doctor.  In order for this to be helpful it needs to contain leave stem and roots no where does it state this so im assuming it didn't have all 3.",4 people found this helpful,
undefined,chanca_piedra_naturalisimolife,BB Cool,1.0 out of 5 stars,"Reviewed in the United States on March 2, 2022",true,1.0 out of 5 stars,Taken the whole bottle now. Big kidney stone is still in same place on right side.,One person found this helpful,
undefined,chanca_piedra_naturalisimolife,Ferniew,1.0 out of 5 stars,"Reviewed in the United States on February 25, 2022",true,1.0 out of 5 stars,"Took the bottle to prevent kidney stone, just got kidney stone.",One person found this helpful,
