product,productName,reviewerName,title,date,verifiedPurchase,stars,text,helpful,size
Potassium citrate,BulkSupplements.com Potassium Citrate Powder,Anik Vince,5.0 out of 5 stars,"Reviewed in the United States on April 19, 2022",true,5.0 out of 5 stars,Decided to buy bulk than to purchase in a supplement form to save some $. Found that citrates help dissolve stone build up in you kidney's from Dr. Berg,2 people found this helpful,Size: 2.2 Pound (Pack of 1)
Potassium citrate,BulkSupplements.com Potassium Citrate Powder,E. Shulman,5.0 out of 5 stars,"Reviewed in the United States on April 27, 2020",true,5.0 out of 5 stars,"My doctor prescribed Potassium Citrate tablets to help prevent future kidney stones, since I have a history of getting these. For some reason, however, this drug is classified as a category 4 drug by my prescription drug plan, which makes  the copay quite costly. Doing some additional research I discovered that all Medicare Part D drug plans classify this drug as a category 4. However, the pills they prescribe are nothing more than a time released tablet of Potassium Citrate, the same exact substance that is in the BulkSupplements bag. So, I have been using the BulkSupplements Potassium Citrate, measured on a cheap ($20) scale in grams, for over a year with great results. My doctor has given this his full approval and all of my test results have been great. He is now recommending this instead of the expensive pills to his patients.",7 people found this helpful,Size: 2.2 Pound (Pack of 1)
Potassium citrate,BulkSupplements.com Potassium Citrate Powder,Daniel DiCorpo,5.0 out of 5 stars,"Reviewed in the United States on January 1, 2020",true,5.0 out of 5 stars,"I take this product with the hopes that it will help limit and /or prevent recurrence of Calcium-Oxalate kidney stones.I mix 1/8 tsp in oatmeal once or twice a day.  After about a month of use, I have noticed several small stone fragments passing and I feel less discomfort in my kidneys.  I also appear stone free on ultrasound.  It is too early to say for long term use but so far I am extremely optimistic about the results.Buyer beware:  This salt tastes VERY BAD.  I need to mix it in oatmeal with a lot of sugar to make it palatable.Of course we aren't buying it for the taste... but it is a serious consideration.Good luck all.",15 people found this helpful,Size: 2.2 Pound (Pack of 1)
Potassium citrate,BulkSupplements.com Potassium Citrate Powder,"Fred Longmeadow, MA",5.0 out of 5 stars,"Reviewed in the United States on December 30, 2019",true,5.0 out of 5 stars,My Dr. told me to get this vs what I was getting from my drug store!  Please talk to your Dr. to see if this will help you will Bladder Stones!!!  It is helping me!,,Size: 1.1 Pound (Pack of 1)
Potassium citrate,BulkSupplements.com Potassium Citrate Powder,karleigh,5.0 out of 5 stars,"Reviewed in the United States on December 22, 2019",true,5.0 out of 5 stars,I have been taking potassium citrate for two years and  havent had any more kidney stones  where as I was having to have surgery for stones about every 4 to 6 months and this product was recommended by my urologist and I have not had any kidney  stones for over 2 years.,4 people found this helpful,Size: 2.2 Pound (Pack of 1)
Potassium citrate,BulkSupplements.com Potassium Citrate Powder,KA,5.0 out of 5 stars,"Reviewed in the United States on August 27, 2019",true,5.0 out of 5 stars,All the products I’ve purchased from Bulk Supplements have been high quality and well packaged.  I use the potassium citrate to raise urinary pH to prevent Uric acid kidney stones.,One person found this helpful,Size: 2.2 Pound (Pack of 1)
Potassium citrate,BulkSupplements.com Potassium Citrate Powder,Jim,5.0 out of 5 stars,"Reviewed in the United States on August 27, 2019",true,5.0 out of 5 stars,I started taking this to help prevent kidney stones. I've noticed that a side benefit is that I no longer get leg cramps.This is a quality product and is a good value vs buying tablets elsewhere.I highly recommend.,,Size: 2.2 Pound (Pack of 1)
Potassium citrate,BulkSupplements.com Potassium Citrate Powder,Julio L. Garcia MD,5.0 out of 5 stars,"Reviewed in the United States on August 23, 2019",true,5.0 out of 5 stars,it is so much cheaper to use this product than buy potassium citrate pills at the pharmacy to avoid kidney stones. I will not use  capsules or tablets ever again,,Size: 2.2 Pound (Pack of 1)
Potassium citrate,BulkSupplements.com Potassium Citrate Powder,study,4.0 out of 5 stars,"Reviewed in the United States on March 25, 2019",true,4.0 out of 5 stars,Good product. Just what I was looking for.,,Size: 1.1 Pound (Pack of 1)
Potassium citrate,BulkSupplements.com Potassium Citrate Powder,junkbluz,5.0 out of 5 stars,"Reviewed in the United States on February 13, 2019",true,5.0 out of 5 stars,"I use the product to dissolve kidney stones.  After drinking lemon juice and apple cider vinegar for a while with no relief, I tried this product.  It mixes easily with water and doesn't leave your stomach ""burned"" from juice and vinegar.  Most importantly, it works.",3 people found this helpful,Size: 1.1 Pound (Pack of 1)
